"","year","month","temperature","dewpoint_temperature","soil_temperature_level_1"
"1",2014,1,15.187888656124,-6.99633710307457,13.5182729413433
"2",2014,2,17.4745858328683,-3.56053336007252,17.9226754324777
"3",2014,3,20.9477793047505,-5.85933385049141,22.9761133993826
"4",2014,4,23.8119822184245,-4.57197672526039,26.9275817871094
"5",2014,5,28.1869337512601,-1.99389963457659,32.0564720892137
"6",2014,6,33.342827351888,-1.09749857584633,37.515185546875
"7",2014,7,35.5576160061744,10.8652873377646,40.694724593624
"8",2014,8,32.8905775500882,13.2670630670363,36.8940614761845
"9",2014,9,31.7428334554037,12.8800842285156,35.1145294189453
"10",2014,10,26.6917525752898,2.68250476467996,28.5374104161417
"11",2014,11,17.9867004394531,-2.98141988118487,18.3685821533203
"12",2014,12,13.7227653257309,1.00745298324095,14.0374015561996
"13",2015,1,13.9162329889113,-0.575860989478304,13.4784829416583
"14",2015,2,18.5645734514509,1.01658782958987,18.6107955932617
"15",2015,3,22.0955788889239,-0.650345537739393,23.9531740250126
"16",2015,4,23.2743581136068,-4.07084248860675,27.1562276204427
"17",2015,5,25.4542657667591,3.29951211252522,30.3622237666961
"18",2015,6,34.024164835612,5.95936075846356,38.7392832438151
"19",2015,7,33.9268550749748,11.2575258316532,38.7849384923135
"20",2015,8,36.1372491651966,12.7623279202369,40.7837227113786
"21",2015,9,32.7759948730469,12.8288991292318,36.5001139322917
"22",2015,10,26.6837609075731,9.05041582661293,28.8218608240928
"23",2015,11,15.8554911295573,-4.06920369466144,15.9676452636719
"24",2015,12,11.6127031880041,-6.5070133332283,10.6626230547505
"25",2016,1,12.8052789503528,-2.01145905525451,12.4828567997102
"26",2016,2,18.1548548205146,-5.01092613483295,18.3357409247037
"27",2016,3,20.9107270271548,-3.34643279044857,23.3191486973917
"28",2016,4,23.6710896809896,-1.15055135091144,27.2363505045573
"29",2016,5,26.5055520334552,3.4367122527092,31.7026867282006
"30",2016,6,35.1063181559245,5.80973103841148,39.7649047851563
"31",2016,7,36.8903747558594,10.7818631079889,42.0906074770036
"32",2016,8,35.4136704967868,12.5428110430318,40.1733898532006
"33",2016,9,30.0517374674479,5.93411865234377,33.1670725504557
"34",2016,10,26.0193144767515,3.86696875787553,27.764796890751
"35",2016,11,18.8372650146485,-0.714514160156227,19.0834899902344
"36",2016,12,12.453743030179,-1.18188299363657,12.5506294496598
"37",2017,1,12.5772614509829,1.52027233492946,12.9252445344002
"38",2017,2,16.9836887904576,2.65098506382536,17.9877650669643
"39",2017,3,21.9263096963206,-2.79732606949342,23.4596368605091
"40",2017,4,24.0044179280599,-3.29295654296873,27.3975677490235
"41",2017,5,27.2112001480595,0.274761372227845,31.4360576014365
